LIBRO;VILLANO;FACCIÓN;PAGINA;NIVEL
ORCOS Y GOBLINS;Komepiñoz Tripafea, el Goblin Máz Lizto de Todoz;ORCOS Y GOBLINS;28;03-04
ORCOS Y GOBLINS;Oddgit, Chamán Goblin Nocturno;ORCOS Y GOBLINS;36;03-04
ORCOS Y GOBLINS;Axemudd el Jefe Orco Salvaje;ORCOS Y GOBLINS;54;03-04
ORCOS Y GOBLINS;Munk, el Chamán Orco Salvaje;ORCOS Y GOBLINS;56;03-04
ORCOS Y GOBLINS;Borgut Machakajetoz, la Mano Derecha de Gorko;ORCOS Y GOBLINS;10;04-05
ORCOS Y GOBLINS;Bruja Troll;ORCOS Y GOBLINS;12;04-05
ORCOS Y GOBLINS;Grom el Panzudo, Kaudillo Goblin de la Montaña Nublada;ORCOS Y GOBLINS;20;04-05
ORCOS Y GOBLINS;Oglok el Horrible;ORCOS Y GOBLINS;37;04-05
ORCOS Y GOBLINS;Skarsnik, Señor de la Guerra de Karak-ocho-Picos;ORCOS Y GOBLINS;38;04-05
ORCOS Y GOBLINS;Skiggit, El Gobo Negro;ORCOS Y GOBLINS;40;04-05
ORCOS Y GOBLINS;Snagga, Gran Jefe Orco;ORCOS Y GOBLINS;42;04-05
ORCOS Y GOBLINS;Uzguz, el Jefe de loz Nómadaz;ORCOS Y GOBLINS;43;04-05
ORCOS Y GOBLINS;Badruk Rompekabezaz;ORCOS Y GOBLINS;8;05-06
ORCOS Y GOBLINS;Gorbad Garra’ierro;ORCOS Y GOBLINS;14;06-07
ORCOS Y GOBLINS;Grumlok y Gazbag;ORCOS Y GOBLINS;24;06-07
ORCOS Y GOBLINS;Wurrzag ud Ura Zahubu, Gran Chamán de la tribu Nariz Huezuda;ORCOS Y GOBLINS;44;06-07
ORCOS Y GOBLINS;Grimgor Piel’ierro, Kaudillo Orco Negro;ORCOS Y GOBLINS;18;07-08
ORCOS Y GOBLINS;Kundar Pizakráneoz, Kaudillo de los Kráneoz Rojoz;ORCOS Y GOBLINS;30;07-08
ORCOS Y GOBLINS;Morglum Quiebracuellos, Kaudillo del Este;ORCOS Y GOBLINS;32;07-08
ORCOS Y GOBLINS;Nazgob, Maestro Chamán;ORCOS Y GOBLINS;34;07-08
ORCOS Y GOBLINS;Azhag el Carnicero montado en Serpiente Alada;ORCOS Y GOBLINS;6;07-08-09
REINOS OGROS;Bragg, El Desollador;CAOS;4;02-03
REINOS OGROS;Braugh, Señordeesclavos;CAOS;6;04-05
REINOS OGROS;Ghark, Tirano Pielférrea;CAOS;8;06-07
REINOS OGROS;Skrag, El Carnicero;CAOS;12;06-07
REINOS OGROS;Grasientus Dientedoro;CAOS;10;07-08
REYES FUNERARIOS;Ramhotep el Visionario;NO MUERTOS;14;01-02
REYES FUNERARIOS;Van Dammeg, el Rey Maldito;NO MUERTOS;20;01-02
REYES FUNERARIOS;Luthor, Alberto y Gunther Laranscheld;NO MUERTOS;22;01-02
REYES FUNERARIOS;Rey Esqueleto y Armand Vespin;NO MUERTOS;24;03-04
REYES FUNERARIOS;Príncipe Majeem y Estatua Sinjin;NO MUERTOS;25;03-04
REYES FUNERARIOS;Khalida Neferher, Gran Reina;NO MUERTOS;10;04-05
REYES FUNERARIOS;Apophas, Señor Maldito de los Escarabajos;NO MUERTOS;8;05-06
REYES FUNERARIOS;Nekhap, Campeón de Settra;NO MUERTOS;13;05-06
REYES FUNERARIOS;Khatep, Gran Hierofante de Khemri;NO MUERTOS;12;06-07
REYES FUNERARIOS;Arkhan el Negro;NO MUERTOS;4;07-08
REYES FUNERARIOS;Sehenesmet, Visir de Quatar;NO MUERTOS;15;08-09
REYES FUNERARIOS;Settra el Imperecedero;NO MUERTOS;16;09-10
SKAVEN;Festid, Hoja de inmundicia;SKAVEN;34;01-02
SKAVEN;Phlem, El Ingeniero Skaven;SKAVEN;33;01-02
SKAVEN;Skamps, El Enfermizo;SKAVEN;36;01-02
SKAVEN;Rance, La Garrapata;SKAVEN;38;01-02
SKAVEN;Ghoritch, Castellano del Pozo Infernal;SKAVEN;4;03-04
SKAVEN;Queek, el Coleccionista de Cabezas;SKAVEN;10;03-04
SKAVEN;Skweel Piñatarroída, Maestro de las Bestias del Pozo Infernal;SKAVEN;14;03-04
SKAVEN;Tretch Colacobarde;SKAVEN;30;03-04
SKAVEN;Nurglitch, Archiseñor de la Plaga;SKAVEN;8;05-06
SKAVEN;Skrolk, Señor de la Plaga del Clan Pestilens;SKAVEN;12;05-06
SKAVEN;Throt el Inmundo;SKAVEN;26;05-06
SKAVEN;Ikit Claw, Ingeniero Jefe del Clan Skryre;SKAVEN;5;07-08
SKAVEN;Snikch, Jefe de los Asesinos del Clan Eshin;SKAVEN;15;07-08
SKAVEN;Veskit, Gran Verdugo del Clan Eshin;SKAVEN;31;07-08
SKAVEN;Thanquol, Vidente Gris;SKAVEN;18;09-10
